comment_id,author,date,text,expected_label,model_pred,vectors,signal_strength
z12nsvmo4yrifjeg504cfdvrhm2vt5p4wfg,Simon Morales,2015-05-08T20:28:10.938000,cool song check out my animal trafficking petition  br    a href  http   www thepetitionsite com             stop animal trafficking  cid headerclick  http   www thepetitionsite com             stop animal trafficking  cid headerclick  a ,1,0,"0,1,-1,-1,-1,1,0,1,0",6
z12dhjqivqv3zvxwl04ccrs43v2wz1cbys40k,Bella Cullen,2015-05-19T23:21:48.011000,check out this video on youtube  br   gotta dance and just have a blast every time i hear this song      just love it  br   ,1,0,"0,1,0,-1,-1,-1,0,0,0",6
z12wefdg1w2sz3ase22tsd4j2xn1ybakp,There's No Saving Grace (FreakOffLeash),,check out this video on youtube  br    br   love this song    it     s all good will never go back that but i     ll always remember the passion but never want to go back to being dysfunctional insanity        goal is to live happy not live insane  ,1,0,"0,1,0,-1,-1,-1,0,0,0",6
LneaDw26bFuMmBaTaA7SRY7EwUqxN2vHR8tDEuQfjRQ,BloodspitsMusic,,come check out our music channel  go check out the song  quot love me quot  by j e m ini  if you do you are a very amazing person  thank you to all who check it out  if you don     t check it out you     re still an amazing person just for reading this post,1,0,"0,1,0,-1,-1,-1,0,0,0",6
z13fsfeyruulsxerl04ch1aatpbhv31z32c,James Lim,,check out this video on youtube   a href  http   www youtube com user jlimvuth  http   www youtube com user jlimvuth  a      eminem ft rihanna   love the way you lie,1,0,"-1,1,0,-1,-1,1,0,0,1",6
z12duvyaxqmrstxs3223jdjjrsb0wllzn04,Vivid Phantasm,2015-01-31T23:42:34.531000,men stop being naive idiots believing in love and believing that women actually respect you  want a more fulfilling drama fee life  check out mgtow  there are many channels here on youtube that you can chose from which will give you all the information needed   caution  not for men who enjoy being disposable providers of utility ,1,0,"-1,1,0,-1,-1,-1,0,0,0",5
z13zhngyrsyeffkvf22cjvtofreiub1lp,Hawa Bah,2015-05-03T17:20:32.978000,hey guys love this but check out this girl name cause she knows how to dance so search up ej ba dancing ,1,0,"-1,1,0,-1,-1,-1,0,0,0",5
z131x1cimrnfuz2zs04ci5gqvqemyb2jsp00k,OFFICIAL LEXIS,2014-11-04T20:26:48.030000,hi everyone  do you like music  then why not check out my music channel  the lexis band will be uploading their own songs and covers soon so don     t miss out  please subscribe too asit does help us out a lot  just takes one click    gt ,1,0,"0,1,-1,-1,-1,-1,0,1,0",5
z12scr5ixnexwh2xa04civ3o3k25dr3wkfw,Freddie Barton,2014-11-06T15:31:35,check my channel for my new song  static    you ll love it  ,1,0,"0,1,0,-1,-1,-1,0,-1,0",5
LneaDw26bFs87f8zCtdgtSzADarWSHU_uPcclXWKxms,Andrew Guasch,,listen   check out andrew guasch   crazy  sick flow   i     m dope    that     s all there is too it  if you like it subscribe  if not  ill be with aftermath of tde soon enough   one love   peace ,1,0,"-1,1,0,-1,-1,-1,0,0,0",5
z13qczlqnoqajv4rd04ci5arplmksbi5yq00k,Andrew Willigar,, a rel  nofollow  class  ot hashtag  href  https   plus google com s    awesome   awesome  a   a rel  nofollow  class  ot hashtag  href  https   plus google com s    share   share  a   a rel  nofollow  class  ot hashtag  href  https   plus google com s    rt   rt  a  eminem   love the way you lie ft  rihanna  a href  http   ow ly  zme f  http   ow ly  zme f  a ,1,0,"-1,-1,0,-1,-1,1,0,0,1",5
z13iyvux4tzxsdf2x23vixxpfxfbixban04,((A.B)),2014-10-04T01:35:02.414000,lmfao is crazy dope    check out my music on my channel if you have a minute  it would mean a lot  much love  ,1,0,"-1,1,0,-1,-1,-1,0,1,0",5
z13bcvcqts3bwtl3g223shlrvqe1wdtmg,KingLoTheDancer,2015-02-01T05:48:32.623000,check out my dance videos   you won     t be disappointed    a rel  nofollow  class  ot hashtag  href  https   plus google com s    kinglothedancer   kinglothedancer  a ,1,0,"-1,1,-1,-1,-1,1,0,1,0",5
z13tczjy5xj0vjmu5231unho1ofey5zdk,LaS Music,2015-05-28T19:23:35.355000,hey guys  i     m a human  br    br    br   but i don     t want to be a human  i want to be a sexy fucking giraffe  br    br    br   i already have the money for the surgery to elongate my spinal core  the surgery to change my skin pigment  and everything else  like this post so others can root me on in my dream     br    br    br   im fucking with you  i make music  check out my first song   a rel  nofollow  class  ot hashtag  href  https   plus google com s    giraffebruuh   giraffebruuh  a ,1,0,"0,1,-1,-1,-1,1,0,-1,0",5
z13xw1iqty25xhrcb23eg3yjrzift5yfq,ownpear902,2014-07-22T18:44:36.299000,check it out free stuff for watching videos and filling surveys br    br    a href  http   www prizerebel com index php r          http   www prizerebel com index php r          a ,1,0,"-1,1,-1,-1,-1,1,0,0,0",5
LneaDw26bFuiTZZU8HrWJPqWfqnrKTtUXy7-rTnPwfU,Lil M,,hi i     m lil m     check out love the way you lie     my live performance and many others    videos and my own lyrics      thanks,1,0,"-1,1,0,-1,-1,-1,0,1,0",5
z13mgtcxivevf3thn04cdvty0sqzuteqpys0k,Sean B,2014-11-10T07:35:42.081000,check out our app to solve all your party drunk problems  br    a href  https   play google com store apps details id vn ibit applocker amp hl en  https   play google com store apps details id vn ibit applocker amp hl en  a ,1,0,"-1,1,-1,-1,-1,1,0,0,0",5
_2viQ_Qnc69fyi7qH4TDPB7CSJnioSrJi3CoQXBbjCo,Mayla Stephens,2013-10-18T20:28:32.779000,i love this      this is one of my fave songs now and i just subscribed         ,1,0,"0,-1,0,-1,-1,-1,0,1,0",5
z13wytcx3ljjhvo2w23qejnwjyzryv2xh04,Sam Kesha,2014-11-07T23:21:19,http   www wattpad com story          she can love you good,1,0,"-1,-1,0,-1,-1,1,0,0,0",5
z13nsd141x24yjh2m224xvlhisrqet4pj04,TheJohnRage,,alright ladies  if you like this song  then check out john rage  he     s a smoking hot rapper coming into the game  he     s not better than eminem lyrically  but he     s hotter  hear some of his songs on my channel ,1,0,"0,1,-1,-1,-1,-1,0,1,1",5
LneaDw26bFttCkyddOJEPH8MvdMEkuYK_CTH-fLEm8E,lisabelb,,check out my cover of love the way you lie please  ,1,0,"-1,1,0,-1,-1,-1,0,1,0",5
z13kfzqicymszt0jp04ci5gqvqemyb2jsp00k,OFFICIAL LEXIS,2014-11-04T20:22:21,hi everyone  do you like music  then why not check out my music channel   the lexis band will be uploading their own songs and covers soon so don t  miss out  please subscribe too as it does help us out a lot  just takes one  click    gt ,1,0,"0,1,-1,-1,-1,-1,0,1,0",5
LneaDw26bFshakV1mr8xdnPsZTs4kKWkL20CH_8-gww,George Raps,,my name is george and let me tell u eminem is my idol my inspiration  i     ve listen to him growing up  i never thou i would love rap this much but i thank him for helping me find my dream  so i rap now and make youtube videos and yesterday i covered the song mockingbird it     s in my channel i worked really hard on it and it     s one of my favorite songs of him  so please go check it out and subscribe it would mean the world to me n sorry for the spam  don     t hate i     m not eminem,1,0,"0,1,0,-1,-1,-1,0,-1,1",5
z13cyzbbqsrxyfaec23xc10rdrrqgd0ch,Malin Linford,2014-11-05T01:13:43,hey guys please check out my new google  page it has many funny pictures   funnytortspics  https   plus google com                       post,1,0,"-1,1,-1,-1,-1,1,0,1,0",5
z12pf3tjfnmkhfcca223xlp5ayb3yfosc,Miss.Farrell Wall,2014-10-09T13:28:49,i was playing this song and the baby in my belly started to dance to  it     sooooo cute  but had to take the song out cause of copy right and  add in a youtube made song    still sooo cute the baby danced to this song  lmfao    https   plus google com                       posts g jvinpuemo,1,0,"0,-1,-1,-1,-1,1,0,1,0",5
z121st5w5k3ui1veg22zirn4gkr5tby2v,Jdidk Loma,2014-01-20T20:35:56,http   tankionline com friend cd  db f  great game check it out ,1,0,"-1,1,-1,-1,-1,1,0,0,0",5
_2viQ_Qnc6-r7fiKCYAGotgCULCIx695QCHaAZDKHBM,Tiffanythebest,2013-09-02T19:42:46.640000,please check out this video called  quot we love mind master it quot   thank u   ,1,0,"-1,1,0,-1,-1,-1,0,0,0",5
z12wujphdvrxcbksz23lc3j5xsqadn0cz,Made2Falter,2014-09-09T23:55:30,check out our vids  our songs are awesome  and that i guarantee   ,1,0,"0,1,-1,-1,-1,-1,0,0,0",5
z12hif0a3nj0vlkxj04cif1wcpuxvf0gpno0k,Hazetrix (EHazardStudio),2015-04-08T00:09:33.033000,hey guys im    years old remixer and producer and i want you guys to help me checking my videos i am sure you will love those music if you love them then subscribe so you will know more about me  ,1,0,"-1,-1,0,-1,1,-1,0,1,0",5
z131ynbp4yepzvz4304cj5ly3oyietfpbj0,Soundhase,2014-08-19T18:59:38,hi guys  check this awesome edm  amp  house mix    thanks a lot    https   soundcloud com soundhase edm house mix  ,1,0,"-1,1,-1,-1,-1,1,0,0,0",5
z120s1agtmmetler404cifqbxzvdx15idtw0k,Sheila Cenabre,2014-08-19T12:33:11,i really love this video   http   www bubblews com account        sheilcen,1,0,"-1,-1,0,-1,-1,1,0,0,0",5
z13wt1vrismyzpiij04cj5vz4nzlyj4yfzo0k,Alexander Mcdonald,2014-10-13T09:19:13,anyone who loves music   please go check out my youtube page and tell me  what you think   i just put a video up and will be doing more song  i m  just trying to get myself started  any love is much appreciated ,1,0,"0,1,0,-1,-1,-1,-1,1,0",5
LneaDw26bFs9Rg2Ij9HjO7kLn-wwxZttoa9Dx9BEGzQ,armontre,,ayyy can u guys please check out my rap video im    n im juss tryna get some love please chrck it out an thank u,1,0,"-1,1,0,-1,-1,-1,0,1,0",5
LneaDw26bFvEGhYWZTzIRiff9BXME_JsdLXh4hiJEqo,Daniel Ebrey,,sorry for the spam yall i know its annoying  but if you can spare a min please check out the new track on my channel i     m a upcoming uk rapper please come check out my songs u might like em  if not no worries im sorry for wastin your time  even thumbs up to get more noticed will really help  peace yall,1,0,"0,1,-1,-1,-1,-1,0,1,0",5
LneaDw26bFtNnEGpg7pf921bsfI1m57qBsEWQKlItrk,KC Cassette,,check out my remix to tyga     s   molly ft  whiz khalifa peace and love,1,0,"-1,1,0,-1,-1,-1,0,1,0",5
z13ufbpg5smtedf4v04ci5gqvqemyb2jsp00k,OFFICIAL LEXIS,2014-11-04T20:24:58,hi everyone  do you like music  then why not check out my music channel   the lexis band will be uploading their own songs and covers soon so don t  miss out  please subscribe too as it does help us out a lot  just takes one  click    gt ,1,0,"0,1,-1,-1,-1,-1,0,1,0",5
_2viQ_Qnc6_fyjM2m-ismUToowpNFauwtldKlfjbtIk,Joshua Kasey,2013-07-21T08:26:18.155000,hello everyone  it is not my intention to spam and am truly sorry if anyone is annoyed by this but just please hear me out   i am a rapper  singer  music producer and a song writer and have been making music for a while now  eight years to be exact   i enjoy making all types of music that anyone can listen to  doesn     t have me talking about killing anyone and most importantly  focuses on the quality of the music   please check out my page  it     s only a click away   thank you and have a nice day   ,1,0,"0,1,-1,-1,-1,-1,0,1,0",5
z13oxrgicuueitsig04cijfwpunexhgyd3k,FreddyLegends Songs,2015-05-11T20:43:01.326000,iiiiiiiiiii love this shake it song oh sorry every shake it song i like watch subscribe and never unlike brooooo            shake it up,1,0,"0,-1,0,-1,-1,-1,0,0,0",5
