comment_id,author,date,text,expected_label,model_pred,vectors
z13uw5rqqwu4ufqli224fvzryy2vwlyk4,MmmHmmm,2015-05-24T20:38:33.832000,lamest world cup song ever  this time for africa  you mean in africa  it wasn     t a live aid event or something  she made it seem like a charity case for them instead of a proud moment  wherewas ricky martin when you needed him  smh,0,0,"0,-1,-1,-1,-1"
z13dun5iruvhx3ryi04cgjkq1nqhhp2p1p00k,Jipi Trần,2015-05-26T07:16:51.245000,good,0,-1,"-1,-1,-1,-1,-1"
z13bdbmoqo3yurmfa22lznkpvqqkfl5fh,Smile day,2015-05-20T16:17:41.577000,  ,0,-1,"-1,-1,-1,-1,-1"
z13yyrro2wmcshswh04cd3saivu1xdprerk0k,LoL Games,2015-05-27T13:37:19.404000,yeah  let     s start the party ,0,-1,"-1,-1,-1,-1,-1"
z13jwbvxvoqje10yg04ccbx5lna5w5rr0tg0k,EraserMan2,2015-05-19T00:46:08.243000,why does the world not shuffle   ,0,-1,"-1,-1,-1,-1,-1"
z13fupk5zkfpjhnws04chl4w3zf0dnkrkl40k,Berthe Etale Bengue,2015-05-21T15:34:32.783000,like,0,-1,"-1,-1,-1,-1,-1"
z13iuzxwamqhzppyp04cdz1amyzpfdnpdns0k,Jason Provencal,2014-01-19T16:15:54,why dafuq is a korean song so big in the usa  does that mean we support  koreans  last time i checked they wanted to bomb us  ,0,0,"0,-1,-1,-1,-1"
z12julhignjmuzlnv230yzipftzvhjzuh,Aveonne Walker,2015-05-26T21:36:16.925000,nice love itttttttt wurkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,0,0,"-1,-1,0,-1,-1"
z12rdtlarmrzxhuba04cibjomsiqi3ij00g,Paul Buxton,2015-05-21T11:12:22.066000,omg  this guy sounds like an american professor green,0,-1,"-1,-1,-1,-1,-1"
z12uvzpw4tufgf2qw04chd5abu3uvf4rw5o,Eric Gonzalez,2015-05-24T15:35:03.844000,to help shakira become the first female to hit  billiom views  i     ve decided to watch this video at least one a day  everyday  shakifans we r so close just hit the replay button    ,0,0,"-1,-1,-1,1,-1"
z12yw1nglsawyxbjt04cfrzrtqiqxxsw2k40k,Xerota,2015-05-16T13:30:23.531000,almost   billion views  nice ,0,-1,"-1,-1,-1,-1,-1"
z12jutrbiwf4x3mn4224ht3bsn3bwrfqz04,Laighla Owens-Teague,2015-05-22T12:37:59.803000,eminem rap can be easy for a boy but i can do that,0,-1,"-1,-1,-1,-1,-1"
z13vuf3jnrncwzree22ac3sils25edx4h04,ibrahim kula,2015-05-20T16:53:38.768000,best world cup offical song,0,0,"0,-1,-1,-1,-1"
z12lzlsxewzbihrvl23jibxpttjxcrv04,wanderer damion,2015-05-26T08:19:38.276000,not   million view anymore    ,0,-1,"-1,-1,-1,-1,-1"
z12ithhjbzzhwdmy504cfd4ypkiiizlbg3k,Ali Baza,2015-05-27T18:33:10.607000,still listening still same pleasure,0,-1,"-1,-1,-1,-1,-1"
z12jwtvwcrmks1xbe04ch5nikwnscb4iqr40k,Athena Gomez,2015-05-23T20:45:58.511000,your the best,0,-1,"-1,-1,-1,-1,-1"
z12usr54ppaxxf1dl23nhbybruapdnixw04,Arthur Teixeira,2014-11-12T20:12:47,i wanted to know the name of the guy that dances at        anybody knows  ,0,-1,"-1,-1,-1,-1,-1"
z12xituo3vvdxvrhk04cdxmilwfwhfdgmz00k,moilovemoi,2014-09-09T22:34:28,roaaaaarrrrrr ,0,-1,"-1,-1,-1,-1,-1"
_2viQ_Qnc6_8ffRCQd5tgg-gWMV557Vkqa4Yz1P4m8s,Faisal Alqarny,2013-09-05T21:46:13.297000,nice song    ,0,0,"0,-1,-1,-1,-1"
z12mx3zj3pqigd3nb23xtpzwnriczf0zo04,Starfire003,2014-11-07T12:58:57,omg     people watched this video because there are   billion people in the  world and   billion watched this,0,-1,"-1,-1,-1,-1,-1"
z12iup4axsfpz50rz04cgr3xiuakujcwvb0,ΑΓΛΑΪΑ ΛΕΠΤΟΚΑΡΙΔΟΥ,2014-10-24T17:41:52,  d  this is my favorite song ,0,0,"0,-1,-1,-1,-1"
z12nfn4yazrphtzwi04cchahoxqlvtc4mvk0k,KatyPerry Queen,2014-09-14T09:47:10,its almost katys birthday  october   th lets say happy birthday to katy    ,0,-1,"-1,-1,-1,-1,-1"
z12zz5eqkxqfzxcof04cjfow2lf5c53hbcc,Nader sheckler,2015-05-22T23:24:03.588000,   song in world even in     ,0,0,"0,-1,-1,-1,-1"
z12qzr1q3vqdghaln23asbvwhrmftzrox04,Robin Delwiche,2014-11-12T01:37:07,i still to this day wonder why this video is so popular    illuminati  confirmed   ,0,-1,"-1,-1,-1,-1,-1"
z12aczswnozdwrfnj22usfnxymiaylupi04,nataly gonzález,2015-05-19T21:49:18.833000,she looks like megan fox xd  ,0,-1,"-1,-1,-1,-1,-1"
z12wsbxquxjthdm0i22jc3ehdnuhwv5xi04,caleb owczarzak,2014-09-09T22:35:25,this looks so fun and it s a good song,0,0,"0,-1,-1,-1,-1"
z13mcpkzpoz1hj3o304cfd3oouf2tj1rnk40k,StuntmanGaming,2014-01-21T02:29:43,behold the most viewed youtube video in the history of ever,0,-1,"-1,-1,-1,-1,-1"
z12vwdpzylnfhdhoc04cfxhbdrjqed2rjh4,jose ramon Bocarejo,2014-09-15T23:53:03,how can this song have     million views while there are only   million  people in the world ,0,0,"0,-1,-1,-1,-1"
z13ufngwhsmyedddo23yhp3hroypufsmz,Febe Gonzalez,2015-05-27T21:01:51.708000,i love music,0,0,"-1,-1,0,-1,-1"
LZQPQhLyRh_hbykd_Xw4oDROJbJTFrs-UbSB2xk8gRk,OREOGAM3R,2014-01-25T19:36:25,it s been back for quite a while now ,0,-1,"-1,-1,-1,-1,-1"
z13kvddrenfhxjeod04cg11pkk2sg1vbr0c,Buffo hrdfjiu,2014-09-13T17:48:14,i really don t understand how this has     million views lol  i m not  hating or anything  it s just confusing  ,0,-1,"-1,-1,-1,-1,-1"
z122wjt5wsi3xt25304cg1yrnxuxyluayuk0k,Insomniac,2015-05-19T23:17:19.120000,man this song really does get in your bones   one minute i     m nearly dosing off to sleep   the next i     m shuffling like crazy with hot feet xd,0,0,"0,-1,-1,-1,-1"
z13pevnyjqyyi1o0a23wtbkiukzfcbz3j,Jakab Norbert,2015-05-26T17:26:02.908000,      ,0,-1,"-1,-1,-1,-1,-1"
z13jspr4tpe5cfofr23eftm4ivaigv1ju04,vipman yea,2015-05-22T19:29:46.566000,  fucking years are fucking past so fucking fast fuck     ,0,-1,"-1,-1,-1,-1,-1"
z12rgllzmwnfuba4h04ch3njgy2fg3ryerg0k,Eanna Cusack,2014-01-20T22:20:59,im just to check how much views it has,0,1,"-1,1,-1,-1,-1"
z131xnrwqtybhzilh22hipqauyuhvnlx104,Cem Devecioğlu devecioğlu,2014-11-10T16:14:20,hii youtube,0,-1,"-1,-1,-1,-1,-1"
z12tuvbodnn5ipp3o22mxnarfnnrxbq4z04,Basanagowda Policepatil,2015-05-20T14:47:02.884000,very nice,0,-1,"-1,-1,-1,-1,-1"
z12lgx5xhnj2sdsy004cdhooyvfvd314dyk0k,goofygroova16,2015-05-26T20:03:52.314000,ahhh back when my life didn     t suck   ,0,-1,"-1,-1,-1,-1,-1"
z13gsbt40s25vre2q23rdtmxepytftaei,Jana Trpevska,2014-09-16T10:46:47,great this is a song,0,0,"0,-1,-1,-1,-1"
z13usjdoivinwzsoy04cgv2y0tbjs1s5xn00k,Karolína Hlavatá,2015-05-27T14:41:43.081000,wery good,0,-1,"-1,-1,-1,-1,-1"
z13cxvn4hyjbyjiab04cepiynzaihpmpp24,Muhamat Agus,2015-05-28T06:20:49.335000,goot,0,-1,"-1,-1,-1,-1,-1"
